rate,property_type,area,bedRoom,bathroom,balcony,noOfFloor,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,age,feature_score,furnish_score
8500,house,1000.0,1,1,No,1,,Ashok Vihar Phase,,0.85,0,0,0,0,undefined,0,0.0
9333,house,450.02,5,3,2,2,,Ravi Nagar,,0.42,0,0,0,0,undefined,0,0.0
8235,house,510.02,3,3,No,2,East,Maruti Kunj,bhawani enclave,0.42,0,0,1,0,Newly House,0,3.5
13333,house,900.02,7,4,1,2,South-West,Rajendra Park,,1.2,0,0,0,1,Mid,2,15.5
21667,house,2999.95,5,6,No,1,,Sector 50,,6.5,0,0,0,0,undefined,0,0.0
20425,house,1835.99,4,4,3+,3,,Urban Estate,,3.75,0,0,0,0,Old,5,39.0
5472,house,4568.71,3,2,1,,,New Palam Vihar Phase,,2.5,0,0,0,0,Old,2,0.0
6944,house,3240.21,36,36,2,3,East,West Rajiv Nagar,,2.25,0,1,0,0,Mid,1,0.0
57692,house,130.0,2,2,No,1,,Ashok Vihar Phase,,0.75,0,0,0,0,undefined,0,3.5
60000,house,50.0,6,3,3,3,South,Surat Nagar Phase,,0.3,0,0,0,0,Mid,0,0.0
3857,house,3500.13,5,3,3,3,East,Vishnu Garden,,1.35,0,0,0,0,undefined,0,3.5
21759,house,2160.03,3,3,2,2,North,Sushant Lok Phase,,4.7,0,1,0,1,Old,8,0.0
8333,house,720.03,4,2,1,0,East,Near Khandsa Road,"om nagar, sector-",0.6,0,0,0,1,Old,1,0.0
7407,house,297.02,2,2,2,1,,Devilal Colony,,0.22,0,0,0,0,undefined,0,0.0
75000,house,220.0,9,9,No,1,,Sheetla Colony,,1.65,0,0,0,0,Newly House,0,2.5
10482,house,477.01,5,3,No,1,,Laxman Vihar,,0.5,0,0,0,0,undefined,0,0.5
25386,house,906.01,6,6,No,0,,Farukhnagar,,2.3,0,0,0,1,Old,6,0.0
8735,house,1431.02,10,6,3+,3,,Ravi Nagar,,1.25,0,0,0,0,Old,0,0.0
9444,house,1800.08,1,1,2,1,,Mianwali Colony,project mianwali colony,1.7,0,0,0,0,undefined,0,0.0
20000,house,3000.0,4,4,1,2,,Palam Vihar,,6.0,0,0,0,0,Relatively New,0,0.0
18667,house,1499.97,4,4,No,2,,Sector 55,,2.8,0,0,0,0,undefined,0,0.0
18889,house,1651.75,4,2,1,1,,Part,,3.12,0,0,0,0,Old,0,0.0
2525,house,297.03,1,1,No,1,,Sohna,,0.075,0,0,0,0,Relatively New,0,0.0
24306,house,1439.97,3,3,2,1,East,Sector 38,,3.5,0,0,0,0,Relatively New,0,0.0
17695,house,1458.04,4,2,2,2,,Saraswati Vihar,project housing board colony,2.58,0,0,0,0,undefined,0,0.0
21519,house,3950.0,4,4,3+,27,,Sector 63,dlf the arbour,8.5,0,0,0,0,undefined,0,3.5
17817,house,2245.05,7,7,3+,4,,Lucknow,dlf garden city floors,4.0,0,0,0,0,Newly House,8,0.0
2,house,7250000.0,4,3,3+,3,South,Pataudi Road,,1.45,0,0,0,0,Mid,0,0.0
6173,house,971.97,8,3,2,3,,Surya Vihar,,0.6,0,0,0,0,Old,0,15.0
55000,house,200.0,4,3,1,2,North-East,Ravi Nagar,,1.1,0,0,0,0,Old,0,0.0
13888,house,1800.12,9,5,2,1,South-East,Subhash Nagar,,2.5,0,0,1,0,Old,2,0.0
20323,house,1722.19,3,2,2,1,East,Sector 38,,3.5,0,0,0,0,Mid,0,0.0
20359,house,1448.99,2,2,2,1,North,Sector 56,huda plots,2.95,0,0,0,0,Mid,6,9.5
5833,house,1200.07,3,2,2,1,,Sector 105,,0.7,0,0,0,0,undefined,0,0.5
11693,house,992.05,5,4,2,3,North-East,Jyoti Park,,1.16,0,0,0,1,Mid,6,9.5
26667,house,5999.93,6,5,2,3,East,Dlf Phase,,16.0,0,0,0,0,Relatively New,0,0.5
53125,house,1600.0,12,12,3+,4,North,Malibu Town,malibu towne,8.5,0,0,0,0,Newly House,23,89.0
17900,house,5000.0,5,6,3+,4,,Sector 28,suncity essel towers,8.95,0,0,0,0,Mid,0,0.0
39886,house,3510.0,9,9,3+,4,North,C Block Sushant Lok Phase,,14.0,0,1,0,0,Mid,1,0.0
126865,house,67.0,5,2,2,1,,Bhim Nagar,"bhim nagar, sector",0.85,0,0,1,0,Old,7,0.0
40909,house,330.0,4,5,No,3,,Jyoti Park,,1.35,0,0,0,0,undefined,0,3.5
27155,house,4860.98,6,6,No,2,,Nirvana Country,,13.2,0,0,0,0,undefined,0,0.0
14492,house,4140.22,9,9,3+,3,North-West,Sector 12,anamika enclave,6.0,0,0,0,0,Old,2,0.0
14167,house,359.99,4,4,3,4,,Laxman Vihar,not applicable,0.51,0,0,0,0,Newly House,0,0.0
11111,house,990.01,6,4,1,2,North,Laxman Vihar,,1.1,0,0,0,0,undefined,0,0.0
13157,house,1900.13,5,5,3+,2,,Sector 37D,,2.5,0,0,0,0,Relatively New,0,0.0
5888,house,900.14,2,2,No,1,,Baldev Nagar,,0.53,0,0,0,0,undefined,0,0.5
11111,house,1800.02,2,2,1,2,,Shivpuri,,2.0,0,0,0,0,Relatively New,0,2.0
7875,house,800.0,4,2,1,2,South-East,New Basti,,0.63,0,0,0,1,Old,1,0.0
